Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0.0008
Sample Interval,2e-08
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,0
,
,
,
Label,
TIME,CH1
-2.000000e-04,0.04
-1.999800e-04,0.04
-1.999600e-04,0.04
-1.999400e-04,0.08
-1.999200e-04,0.08
-1.999000e-04,0.08
-1.998800e-04,0.08
-1.998600e-04,0.08
-1.998400e-04,0.08
-1.998200e-04,0.12
-1.998000e-04,0.08
-1.997800e-04,0.08
-1.997600e-04,0.08
-1.997400e-04,0.08
-1.997200e-04,0.08
-1.997000e-04,0.08
-1.996800e-04,0.08
-1.996600e-04,0.08
-1.996400e-04,0.08
-1.996200e-04,0.04
-1.996000e-04,0.08
-1.995800e-04,0.08
-1.995600e-04,0.04
-1.995400e-04,0.04
-1.995200e-04,0.08
-1.995000e-04,0.08
-1.994800e-04,0.08
-1.994600e-04,0.04
-1.994400e-04,0.08
-1.994200e-04,0.08
-1.994000e-04,0.08
-1.993800e-04,0.08
-1.993600e-04,0.04
-1.993400e-04,0.04
-1.993200e-04,0.08
-1.993000e-04,0.08
-1.992800e-04,0.08
-1.992600e-04,0.08
-1.992400e-04,0.08
-1.992200e-04,0.08
-1.992000e-04,0.08
-1.991800e-04,0.08
-1.991600e-04,0.08
-1.991400e-04,0.04
-1.991200e-04,0.08
-1.991000e-04,0.04
-1.990800e-04,0.08
-1.990600e-04,0.04
-1.990400e-04,0.08
-1.990200e-04,0.08
-1.990000e-04,0.08
-1.989800e-04,0.08
-1.989600e-04,0.08
-1.989400e-04,0.12
-1.989200e-04,0.04
-1.989000e-04,0.08
-1.988800e-04,0.08
-1.988600e-04,0.08
-1.988400e-04,0.08
-1.988200e-04,0.08
-1.988000e-04,0.08
-1.987800e-04,0.04
-1.987600e-04,0.08
-1.987400e-04,0.08
-1.987200e-04,0.04
-1.987000e-04,0.08
-1.986800e-04,0.08
-1.986600e-04,0.04
-1.986400e-04,0.08
-1.986200e-04,0.08
-1.986000e-04,0.08
-1.985800e-04,0.08
-1.985600e-04,0.08
-1.985400e-04,0.08
-1.985200e-04,0.04
-1.985000e-04,0.08
-1.984800e-04,0.08
-1.984600e-04,0.04
-1.984400e-04,0.04
-1.984200e-04,0.08
-1.984000e-04,0.04
-1.983800e-04,0.04
-1.983600e-04,0.04
-1.983400e-04,0.04
-1.983200e-04,0.08
-1.983000e-04,0.08
-1.982800e-04,0.12
-1.982600e-04,0.08
-1.982400e-04,0.04
-1.982200e-04,0.04
-1.982000e-04,0.08
-1.981800e-04,0.08
-1.981600e-04,0.08
-1.981400e-04,0.04
-1.981200e-04,0.08
-1.981000e-04,0.04
-1.980800e-04,0.08
-1.980600e-04,0.08
-1.980400e-04,0.04
-1.980200e-04,0.08
-1.980000e-04,0.08
-1.979800e-04,0.08
-1.979600e-04,0.08
-1.979400e-04,0.08
-1.979200e-04,0.08
-1.979000e-04,0.08
-1.978800e-04,0.12
-1.978600e-04,0.08
-1.978400e-04,0.08
-1.978200e-04,0.08
-1.978000e-04,0.08
-1.977800e-04,0.08
-1.977600e-04,0.08
-1.977400e-04,0.08
-1.977200e-04,0.08
-1.977000e-04,0.08
-1.976800e-04,0.08
-1.976600e-04,0.04
-1.976400e-04,0.08
-1.976200e-04,0.08
-1.976000e-04,0.04
-1.975800e-04,0.04
-1.975600e-04,0.08
-1.975400e-04,0.08
-1.975200e-04,0.08
-1.975000e-04,0.08
-1.974800e-04,0.08
-1.974600e-04,0.08
-1.974400e-04,0.08
-1.974200e-04,0.08
-1.974000e-04,0.08
-1.973800e-04,0.12
-1.973600e-04,0.04
-1.973400e-04,0.04
-1.973200e-04,0.12
-1.973000e-04,0.04
-1.972800e-04,0.04
-1.972600e-04,0.08
-1.972400e-04,0.04
-1.972200e-04,0.04
-1.972000e-04,0.08
-1.971800e-04,0.04
-1.971600e-04,0.08
-1.971400e-04,0.04
-1.971200e-04,0.08
-1.971000e-04,0.08
-1.970800e-04,0.08
-1.970600e-04,0.04
-1.970400e-04,0.04
-1.970200e-04,0.08
-1.970000e-04,0.04
-1.969800e-04,0.08
-1.969600e-04,0.08
-1.969400e-04,0.08
-1.969200e-04,0.08
-1.969000e-04,0.12
-1.968800e-04,0.08
-1.968600e-04,0.08
-1.968400e-04,0.08
-1.968200e-04,0.08
-1.968000e-04,0.04
-1.967800e-04,0.08
-1.967600e-04,0.08
-1.967400e-04,0.08
-1.967200e-04,0.04
-1.967000e-04,0.08
-1.966800e-04,0.08
-1.966600e-04,0.08
-1.966400e-04,0.08
-1.966200e-04,0.08
-1.966000e-04,0.04
-1.965800e-04,0.08
-1.965600e-04,0.08
-1.965400e-04,0.04
-1.965200e-04,0.04
-1.965000e-04,0.04
-1.964800e-04,0.08
-1.964600e-04,0.08
-1.964400e-04,0.04
-1.964200e-04,0.08
-1.964000e-04,0.08
-1.963800e-04,0.04
-1.963600e-04,0.12
-1.963400e-04,0.08
-1.963200e-04,0.04
-1.963000e-04,0.08
-1.962800e-04,0.08
-1.962600e-04,0.08
-1.962400e-04,0.08
-1.962200e-04,0.04
-1.962000e-04,0.08
-1.961800e-04,0.04
-1.961600e-04,0.08
-1.961400e-04,0.08
-1.961200e-04,0.08
-1.961000e-04,0.08
-1.960800e-04,0.08
-1.960600e-04,0.04
-1.960400e-04,0.08
-1.960200e-04,0.04
-1.960000e-04,0.04
-1.959800e-04,0.04
-1.959600e-04,0.04
-1.959400e-04,0.08
-1.959200e-04,0.04
-1.959000e-04,0.04
-1.958800e-04,0.08
-1.958600e-04,0.04
-1.958400e-04,0.08
-1.958200e-04,0.04
-1.958000e-04,0.08
-1.957800e-04,0.08
-1.957600e-04,0.04
-1.957400e-04,0.04
-1.957200e-04,0
-1.957000e-04,0.08
-1.956800e-04,0.04
-1.956600e-04,0.08
-1.956400e-04,0.08
-1.956200e-04,0.08
-1.956000e-04,0.04
-1.955800e-04,0.08
-1.955600e-04,0.08
-1.955400e-04,0.08
-1.955200e-04,0.04
-1.955000e-04,0.08
-1.954800e-04,0.08
-1.954600e-04,0.08
-1.954400e-04,0.04
-1.954200e-04,0.08
-1.954000e-04,0.04
-1.953800e-04,0.08
-1.953600e-04,0.08
-1.953400e-04,0.08
-1.953200e-04,0.04
-1.953000e-04,0.08
-1.952800e-04,0.08
-1.952600e-04,0.04
-1.952400e-04,0.08
-1.952200e-04,0.12
-1.952000e-04,0.08
-1.951800e-04,0.08
-1.951600e-04,0.08
-1.951400e-04,0.08
-1.951200e-04,0.08
-1.951000e-04,0.08
-1.950800e-04,0.08
-1.950600e-04,0.08
-1.950400e-04,0.08
-1.950200e-04,0.08
-1.950000e-04,0.08
-1.949800e-04,0.04
-1.949600e-04,0.08
-1.949400e-04,0.04
-1.949200e-04,0.08
-1.949000e-04,0.08
-1.948800e-04,0.04
-1.948600e-04,0.04
-1.948400e-04,0.08
-1.948200e-04,0.08
-1.948000e-04,0.04
-1.947800e-04,0.04
-1.947600e-04,0.08
-1.947400e-04,0.08
-1.947200e-04,0
-1.947000e-04,0.08
-1.946800e-04,0.08
-1.946600e-04,0.08
-1.946400e-04,0.08
-1.946200e-04,0.12
-1.946000e-04,0.04
-1.945800e-04,0.08
-1.945600e-04,0.08
-1.945400e-04,0.04
-1.945200e-04,0.08
-1.945000e-04,0.08
-1.944800e-04,0.04
-1.944600e-04,0.08
-1.944400e-04,0.08
-1.944200e-04,0.04
-1.944000e-04,0.04
-1.943800e-04,0.04
-1.943600e-04,0.08
-1.943400e-04,0.08
-1.943200e-04,0.08
-1.943000e-04,0.08
-1.942800e-04,0.08
-1.942600e-04,0.08
-1.942400e-04,0.04
-1.942200e-04,0.08
-1.942000e-04,0.08
-1.941800e-04,0.08
-1.941600e-04,0.08
-1.941400e-04,0.08
-1.941200e-04,0.08
-1.941000e-04,0.08
-1.940800e-04,0.12
-1.940600e-04,0.08
-1.940400e-04,0.08
-1.940200e-04,0.08
-1.940000e-04,0.12
-1.939800e-04,0.04
-1.939600e-04,0.08
-1.939400e-04,0.08
-1.939200e-04,0.08
-1.939000e-04,0.08
-1.938800e-04,0.08
