Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.004
Horizontal Delay,0.016
Sample Interval,4e-07
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.000000e-03,0
-3.999600e-03,0
-3.999200e-03,0.2
-3.998800e-03,0
-3.998400e-03,0
-3.998000e-03,0
-3.997600e-03,0
-3.997200e-03,0.2
-3.996800e-03,0.2
-3.996400e-03,0
-3.996000e-03,0
-3.995600e-03,0.2
-3.995200e-03,0
-3.994800e-03,0.2
-3.994400e-03,0
-3.994000e-03,0
-3.993600e-03,0
-3.993200e-03,0.2
-3.992800e-03,0.2
-3.992400e-03,0.2
-3.992000e-03,0
-3.991600e-03,0
-3.991200e-03,0
-3.990800e-03,0.2
-3.990400e-03,0
-3.990000e-03,0
-3.989600e-03,0.2
-3.989200e-03,0.2
-3.988800e-03,0
-3.988400e-03,0.2
-3.988000e-03,0
-3.987600e-03,0
-3.987200e-03,0.2
-3.986800e-03,0.2
-3.986400e-03,0
-3.986000e-03,0.2
-3.985600e-03,0
-3.985200e-03,0.2
-3.984800e-03,0.2
-3.984400e-03,0.2
-3.984000e-03,0
-3.983600e-03,0
-3.983200e-03,0
-3.982800e-03,0.2
-3.982400e-03,0.2
-3.982000e-03,0
-3.981600e-03,0
-3.981200e-03,0.2
-3.980800e-03,0
-3.980400e-03,0.2
-3.980000e-03,0
-3.979600e-03,0
-3.979200e-03,0
-3.978800e-03,0.2
-3.978400e-03,0.2
-3.978000e-03,0
-3.977600e-03,0
-3.977200e-03,0.2
-3.976800e-03,0
-3.976400e-03,0
-3.976000e-03,0
-3.975600e-03,0.2
-3.975200e-03,0
-3.974800e-03,0.2
-3.974400e-03,0
-3.974000e-03,0
-3.973600e-03,0
-3.973200e-03,0
-3.972800e-03,0.2
-3.972400e-03,0
-3.972000e-03,0
-3.971600e-03,0
-3.971200e-03,0
-3.970800e-03,0
-3.970400e-03,0.2
-3.970000e-03,0
-3.969600e-03,0
-3.969200e-03,0
-3.968800e-03,0
-3.968400e-03,0
-3.968000e-03,0.2
-3.967600e-03,0
-3.967200e-03,0
-3.966800e-03,0
-3.966400e-03,0
-3.966000e-03,0
-3.965600e-03,0
-3.965200e-03,0
-3.964800e-03,0.2
-3.964400e-03,0
-3.964000e-03,0.2
-3.963600e-03,0
-3.963200e-03,0
-3.962800e-03,0
-3.962400e-03,0
-3.962000e-03,0
-3.961600e-03,0
-3.961200e-03,0
-3.960800e-03,0
-3.960400e-03,0
-3.960000e-03,0.2
-3.959600e-03,0
-3.959200e-03,0
-3.958800e-03,0
-3.958400e-03,0
-3.958000e-03,0
-3.957600e-03,0
-3.957200e-03,0
-3.956800e-03,0.2
-3.956400e-03,0
-3.956000e-03,0.2
-3.955600e-03,0
-3.955200e-03,0
-3.954800e-03,0
-3.954400e-03,0
-3.954000e-03,0
-3.953600e-03,0.2
-3.953200e-03,0.2
-3.952800e-03,0.2
-3.952400e-03,0
-3.952000e-03,0.2
-3.951600e-03,0
-3.951200e-03,0
-3.950800e-03,0
-3.950400e-03,0
-3.950000e-03,0.2
-3.949600e-03,0
-3.949200e-03,0
-3.948800e-03,0
-3.948400e-03,0
-3.948000e-03,0.2
-3.947600e-03,0
-3.947200e-03,0
-3.946800e-03,0
-3.946400e-03,0.2
-3.946000e-03,0
-3.945600e-03,0
-3.945200e-03,0.4
-3.944800e-03,0.2
-3.944400e-03,0
-3.944000e-03,0.2
-3.943600e-03,0.2
-3.943200e-03,0.2
-3.942800e-03,0.2
-3.942400e-03,0
-3.942000e-03,0
-3.941600e-03,0
-3.941200e-03,0.2
-3.940800e-03,0.4
-3.940400e-03,0.2
-3.940000e-03,0.2
-3.939600e-03,0
-3.939200e-03,0
-3.938800e-03,0.2
-3.938400e-03,0.2
-3.938000e-03,0
-3.937600e-03,0
-3.937200e-03,0
-3.936800e-03,0
-3.936400e-03,0.2
-3.936000e-03,0
-3.935600e-03,0
-3.935200e-03,0
-3.934800e-03,0
-3.934400e-03,0
-3.934000e-03,0
-3.933600e-03,0
-3.933200e-03,0
-3.932800e-03,0.2
-3.932400e-03,0.2
-3.932000e-03,0
-3.931600e-03,0
-3.931200e-03,0.2
-3.930800e-03,0
-3.930400e-03,0.2
-3.930000e-03,0.2
-3.929600e-03,0
-3.929200e-03,0
-3.928800e-03,0.2
-3.928400e-03,0
-3.928000e-03,0
-3.927600e-03,0
-3.927200e-03,0
-3.926800e-03,0.2
-3.926400e-03,0.2
-3.926000e-03,0.2
-3.925600e-03,0
-3.925200e-03,0
-3.924800e-03,0.2
-3.924400e-03,0
-3.924000e-03,0.2
-3.923600e-03,0
-3.923200e-03,0
-3.922800e-03,0
-3.922400e-03,0
-3.922000e-03,0
-3.921600e-03,0
-3.921200e-03,0
-3.920800e-03,0.2
-3.920400e-03,0.2
-3.920000e-03,0.2
-3.919600e-03,0
-3.919200e-03,0
-3.918800e-03,0
-3.918400e-03,0.2
-3.918000e-03,0
-3.917600e-03,0.2
-3.917200e-03,0
-3.916800e-03,0
-3.916400e-03,0
-3.916000e-03,0
-3.915600e-03,0.2
-3.915200e-03,0
-3.914800e-03,0
-3.914400e-03,0
-3.914000e-03,0
-3.913600e-03,0.2
-3.913200e-03,0
-3.912800e-03,0
-3.912400e-03,0.2
-3.912000e-03,0.2
-3.911600e-03,0
-3.911200e-03,0
-3.910800e-03,0
-3.910400e-03,0
-3.910000e-03,0
-3.909600e-03,0
-3.909200e-03,0.2
-3.908800e-03,0
-3.908400e-03,0
-3.908000e-03,0
-3.907600e-03,0.2
-3.907200e-03,0
-3.906800e-03,0
-3.906400e-03,0
-3.906000e-03,0
-3.905600e-03,0
-3.905200e-03,0.2
-3.904800e-03,0
-3.904400e-03,0
-3.904000e-03,0
-3.903600e-03,0.2
-3.903200e-03,0.2
-3.902800e-03,0
-3.902400e-03,0
-3.902000e-03,0.2
-3.901600e-03,0
-3.901200e-03,0
-3.900800e-03,0
-3.900400e-03,0
-3.900000e-03,0.2
-3.899600e-03,0.2
-3.899200e-03,0
-3.898800e-03,0.2
-3.898400e-03,0
-3.898000e-03,0.2
-3.897600e-03,0.2
-3.897200e-03,0
-3.896800e-03,0
-3.896400e-03,0
-3.896000e-03,0
-3.895600e-03,0
-3.895200e-03,0
-3.894800e-03,0
-3.894400e-03,0
-3.894000e-03,0
-3.893600e-03,0.2
-3.893200e-03,0
-3.892800e-03,0
-3.892400e-03,0
-3.892000e-03,0.2
-3.891600e-03,0.2
-3.891200e-03,0.2
-3.890800e-03,0.2
-3.890400e-03,0
-3.890000e-03,0
-3.889600e-03,0
-3.889200e-03,0.2
-3.888800e-03,0
-3.888400e-03,0
-3.888000e-03,0.2
-3.887600e-03,0
-3.887200e-03,0
-3.886800e-03,0
-3.886400e-03,0.2
-3.886000e-03,0
-3.885600e-03,0.2
-3.885200e-03,0
-3.884800e-03,0
-3.884400e-03,0.2
-3.884000e-03,0
-3.883600e-03,0
-3.883200e-03,0
-3.882800e-03,0
-3.882400e-03,0.2
-3.882000e-03,0
-3.881600e-03,0
-3.881200e-03,0
-3.880800e-03,0.2
-3.880400e-03,0
-3.880000e-03,0.2
-3.879600e-03,0
-3.879200e-03,0.2
-3.878800e-03,0.2
-3.878400e-03,0
-3.878000e-03,0
-3.877600e-03,0
-3.877200e-03,0.2
-3.876800e-03,0
-3.876400e-03,0
-3.876000e-03,0
-3.875600e-03,0.2
-3.875200e-03,0.2
-3.874800e-03,0.2
-3.874400e-03,0
-3.874000e-03,0
-3.873600e-03,0
-3.873200e-03,0.2
-3.872800e-03,0
-3.872400e-03,0.4
-3.872000e-03,0
-3.871600e-03,0
-3.871200e-03,0
-3.870800e-03,0.2
-3.870400e-03,0
-3.870000e-03,0.2
-3.869600e-03,0.2
-3.869200e-03,0.2
-3.868800e-03,0
-3.868400e-03,0.2
-3.868000e-03,0
-3.867600e-03,0
-3.867200e-03,0
-3.866800e-03,0.2
-3.866400e-03,0
-3.866000e-03,0.2
-3.865600e-03,0.2
-3.865200e-03,0.2
-3.864800e-03,0
-3.864400e-03,0
-3.864000e-03,0
-3.863600e-03,0
