Temp,Volts(uV)
7.05,1.16,
7.04,1.18,
7.03,1.19,
7.02,1.19,
7.01,1.19,
7.00,1.16,
6.99,1.17,
6.98,1.16,
6.97,1.15,
6.96,1.16,
6.95,1.17,
6.94,1.16,
6.93,1.17,
6.92,1.16,
6.91,1.17,
6.90,1.18,
6.89,1.16,
6.88,1.15,
6.87,1.15,
6.86,1.12,
6.85,1.07,
6.84,0.96,
6.83,0.85,
6.82,0.72,
6.81,0.67,
6.80,0.60,
6.79,0.54,
6.74,0.52,
6.73,0.50,
6.72,0.48,
6.71,0.39,
6.70,0.30,
6.69,0.27,
6.68,0.23,
6.67,0.17,
6.66,0.17,
6.65,0.11,
6.64,0.10,
6.63,0.05,
6.62,0.04,
6.61,0.03,
6.60,0.03,
6.59,0.05,
6.57,0.05,
6.56,0.04,
6.55,0.04,
